ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7916302906,False,476,0,22,23,2,85,94,4,22,82,50,86,11,41,9
7916300803,False,1016,7,22,41,4,77,39,48,93,19,86,23,74,131,44
7916298102,True,1016,7,22,73,4,119,79,135,23,48,97,37,54,131,22
7916295814,False,1326,0,22,35,4,9,12,75,83,99,102,44,25,26,21
7916295800,False,1282,0,22,43,4,111,44,31,29,126,49,98,86,11,40
7916295317,True,1325,7,22,62,5,97,69,42,131,73,74,2,56,44,27
7916295010,False,1307,7,22,81,7,98,27,39,43,1,131,106,107,21,93
7916294007,True,1333,7,22,32,3,106,20,11,85,26,74,131,1,97,7
7916293513,True,1384,7,22,45,6,18,59,44,119,64,75,71,60,42,126
7916293108,True,1237,7,22,63,6,136,42,86,60,131,107,74,71,49,44
7916290809,True,1445,7,22,41,3,64,104,84,1,123,14,19,39,27,42
7916290612,False,1547,7,22,43,6,39,1,94,60,35,8,93,96,101,30
7916290406,True,1317,7,22,81,6,74,102,23,131,25,96,14,41,11,40
7916290101,True,1415,7,22,81,5,138,91,105,49,74,107,98,86,75,8
7916289319,True,1506,7,22,33,7,93,5,101,94,57,9,2,44,1,75
7916289310,True,1635,7,22,54,2,30,29,88,8,22,106,105,104,1,57
7916289305,False,1558,7,22,81,8,32,16,76,14,128,88,108,102,106,25
7916289107,True,1623,7,3,52,6,28,26,40,73,108,88,119,114,41,54
7916289004,True,1540,7,22,75,4,30,64,38,21,95,63,16,50,11,31
7916288814,True,1586,7,22,81,5,100,83,126,2,25,86,34,98,4,39
7916288804,True,1649,7,22,41,4,14,25,85,6,99,64,111,92,10,80
7916288312,True,1644,7,22,75,6,129,119,93,19,86,30,131,8,20,108
7916288310,True,1628,7,22,12,3,93,2,26,21,7,49,87,99,44,86
7916288203,False,1728,7,22,42,3,62,86,137,94,83,77,99,44,14,111
7916287818,True,1694,7,22,55,7,131,114,137,105,47,74,104,42,16,25
7916287718,False,1548,7,22,33,4,70,104,74,26,47,131,80,44,37,96
