ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7915500612,False,1137,7,22,22,3,68,59,1,73,35,57,104,92,26,63
7915499512,False,387,0,22,54,5,4,2,9,5,14,73,50,39,48,131
7915496707,False,1059,0,22,72,5,2,101,74,86,109,131,15,31,36,18
7915495611,True,1198,7,22,63,5,97,27,35,14,11,25,99,70,91,84
7915494607,True,1268,7,22,63,5,86,106,44,87,49,100,131,54,40,36
7915493417,False,1365,7,22,51,4,84,75,42,25,53,78,31,104,73,72
7915492808,False,1407,7,22,34,4,95,109,42,26,71,17,104,129,131,83
7915492711,True,1421,7,22,34,3,27,44,25,33,42,54,67,105,75,84
7915491714,False,1468,7,22,81,5,21,44,13,53,131,86,83,41,7,51
7915491300,False,1531,0,22,43,3,38,45,80,16,11,56,96,40,35,42
7915490912,False,1501,7,22,34,4,131,30,84,104,8,100,42,68,9,80
7915490510,True,1375,7,22,32,4,131,74,8,97,27,14,68,113,42,26
7915490319,True,1586,7,22,52,5,60,63,30,7,35,34,16,94,25,9
7915490311,False,1339,7,22,41,2,14,73,48,123,113,17,102,91,137,136
7915489016,True,1400,7,22,41,3,11,6,112,14,2,44,68,131,67,104
7915489002,True,1405,7,22,31,6,1,102,34,39,98,8,21,73,14,23
7915488410,True,1610,0,22,54,5,98,51,84,50,48,76,53,131,86,54
7915487312,False,1369,7,22,61,3,67,20,63,34,84,36,85,1,86,64
7915487112,True,1695,7,22,62,6,25,83,131,14,42,53,86,39,44,108
7915487018,True,1686,7,22,34,4,28,75,64,42,45,56,14,2,7,12
7915486908,False,1505,7,22,53,3,17,54,5,60,131,56,14,30,2,53
7915486616,True,1579,7,22,61,5,64,36,71,81,49,58,20,2,13,44
7915486315,True,1606,7,22,35,4,76,64,42,80,40,35,71,14,1,79
7915486118,True,1700,0,4,33,5,47,20,100,70,21,72,48,92,14,26
7915486106,True,1417,7,22,52,8,79,136,91,113,129,135,15,64,31,70
7915485819,False,1665,7,22,23,4,84,44,104,107,131,71,113,81,85,21
7915485708,False,1578,0,22,43,4,29,44,22,34,103,14,81,25,86,74
7915485510,False,1554,7,22,75,8,87,10,2,101,11,26,14,49,69,31
7915485402,False,1571,7,22,81,5,93,55,131,5,53,39,112,111,25,14
7915485203,True,1684,7,22,54,5,72,74,26,84,70,126,57,93,64,14
7915484916,True,1599,7,22,51,2,47,131,2,56,31,104,29,63,84,86
7915484814,False,1528,7,22,44,8,37,7,8,5,16,49,104,64,14,92
7915484803,True,1732,7,22,15,4,20,37,99,31,93,35,131,89,43,25
7915484318,True,1744,7,22,34,5,35,53,44,108,37,55,131,39,1,31
7915484212,False,1706,7,22,24,6,5,41,93,103,56,42,86,44,22,131
7915484203,False,1745,7,22,21,3,94,62,1,28,72,42,131,45,93,65
7915484004,True,1533,7,22,42,2,25,91,136,23,57,8,26,31,104,53
7915483902,False,1804,7,22,22,7,71,86,89,53,16,26,11,6,8,99
7915483812,True,1770,7,22,15,2,6,11,5,14,45,22,107,21,99,1
7915483616,False,1769,7,22,52,6,85,131,136,12,47,14,15,8,102,84
7915483615,True,1639,7,22,31,4,129,6,14,131,138,74,2,105,93,35
7915483518,True,1810,7,22,64,9,74,86,1,62,99,73,3,20,77,84
7915483216,False,1796,7,22,72,6,14,35,105,87,106,84,128,129,98,46
7915483108,False,1698,7,22,31,4,137,39,100,53,5,97,16,20,35,67
7915483004,True,1766,0,22,31,2,99,91,2,85,35,17,101,36,131,48
7915483003,True,1636,7,3,53,9,11,49,88,84,114,53,62,104,81,106
7915482916,True,1676,7,22,52,7,91,62,26,70,84,25,131,60,6,30
7915482902,False,1704,0,22,51,2,93,8,19,73,83,1,18,25,22,14
7915482807,True,1683,7,22,43,7,15,131,107,25,36,85,10,102,49,2
7915482409,True,1644,7,22,42,3,74,93,84,36,131,1,57,35,49,128
7915482208,False,1530,7,22,52,4,92,22,98,27,63,96,131,19,1,37
7915482115,True,1765,7,22,31,4,14,22,51,30,25,106,9,131,16,93
7915482107,False,1857,7,22,21,3,44,27,54,21,35,131,95,104,30,39
7915481905,True,1925,7,22,24,5,93,2,30,84,36,131,31,56,99,48
7915481814,True,1701,7,22,81,4,16,27,42,53,45,14,20,25,84,63
7915481804,True,1796,0,22,53,6,138,100,61,9,8,11,21,107,113,136
7915481719,True,1704,0,22,32,2,102,85,123,101,44,67,36,50,131,68
7915481607,False,1756,7,22,24,6,81,84,113,68,25,44,30,50,39,129
7915481603,False,1825,7,22,43,4,17,42,135,31,121,84,11,93,23,64
7915481401,True,1798,7,22,44,4,111,93,59,86,135,1,121,43,26,129
7915481219,True,1862,7,22,81,8,113,97,111,131,8,20,3,7,10,62
7915481216,False,1968,7,22,51,6,114,74,7,131,44,73,84,63,97,32
7915481212,False,1919,7,22,53,5,26,131,11,67,2,87,39,8,104,123
7915481112,False,1928,0,22,53,6,40,108,68,8,11,104,22,67,5,105
7915481105,False,1719,7,22,51,3,8,37,96,19,84,7,104,44,131,56
7915481014,True,1884,7,22,55,5,14,31,27,1,21,110,44,126,83,92
7915481011,True,1810,7,22,33,3,108,39,86,42,83,77,5,100,109,35
7915481010,True,1929,0,22,44,5,57,19,44,3,26,5,11,138,9,135
7915481008,True,1728,0,22,43,4,131,129,47,84,37,11,97,44,27,86
7915480919,False,1891,7,22,33,8,49,16,7,32,107,74,72,91,135,75
7915480714,True,1759,7,22,61,3,96,37,136,54,50,22,84,9,119,17
7915480709,True,1819,7,22,25,2,32,39,131,8,64,96,10,34,22,106
7915480700,True,1763,7,22,33,2,93,89,73,76,131,12,27,44,21,2
7915480516,False,1819,7,22,31,3,14,55,31,94,85,106,7,42,11,16
7915480217,False,1905,7,22,51,2,7,87,113,26,18,14,131,8,54,59
7915480117,False,1973,7,22,41,4,71,6,42,30,21,78,32,37,84,14
7915480115,True,1874,7,22,31,7,100,5,84,21,42,73,48,129,75,44
7915480009,True,1714,7,22,71,3,25,70,52,99,131,6,87,56,84,11
