ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7916120919,True,1060,7,22,72,6,80,42,31,54,131,20,96,1,57,14
7916120204,False,1046,7,22,51,5,120,70,131,38,106,15,86,11,73,21
7916118111,False,1234,7,22,43,6,44,106,14,2,51,30,96,7,25,75
7916117012,True,1154,7,22,15,2,44,32,85,68,47,13,30,131,21,67
7916116009,True,1165,7,22,63,5,49,46,88,26,9,11,129,131,76,86
7916115502,False,1367,7,22,42,5,6,8,29,62,20,63,30,39,47,14
7916115303,False,1106,7,22,51,3,88,23,131,39,48,41,30,4,104,84
7916114604,True,1434,7,22,53,4,37,137,10,68,111,39,8,121,82,65
7916113719,True,1584,7,22,31,5,77,8,102,57,131,14,44,111,51,9
7916112919,True,1466,7,22,51,9,75,70,137,80,101,44,104,64,11,86
7916112900,True,1326,0,22,23,2,27,89,2,56,25,102,93,85,74,104
7916112816,True,1529,7,22,34,4,27,104,39,63,53,135,11,91,86,89
7916112513,True,1549,7,22,75,9,43,2,48,76,5,31,53,93,104,114
7916112504,False,1343,7,22,62,6,57,96,88,44,86,64,49,8,131,39
7916112503,True,1644,7,22,51,3,12,74,5,14,2,87,13,131,36,44
7916112419,False,1460,7,22,61,5,104,126,73,114,26,35,21,88,20,44
7916112309,False,1473,7,22,42,3,63,99,26,31,75,113,94,131,70,64
7916111916,False,1600,7,22,31,3,20,136,71,74,54,26,91,8,80,28
7916111902,True,1520,0,4,43,5,104,64,14,56,12,54,83,32,43,71
7916111802,True,1507,7,22,31,5,20,44,19,104,11,31,65,114,131,28
7916111618,False,1543,0,4,62,6,68,44,46,19,26,16,98,137,101,102
7916111606,True,1133,7,22,63,7,37,128,92,44,40,8,55,17,71,86
7916111402,True,1587,7,22,71,5,3,17,10,104,131,72,28,25,86,74
7916111301,False,1677,7,22,81,7,111,51,63,97,13,131,49,104,126,101
7916111216,True,1664,7,22,43,4,131,1,64,14,77,71,2,37,94,22
7916111114,False,1735,7,22,51,5,39,2,31,112,1,37,56,23,19,70
7916110911,False,1477,7,22,81,5,53,64,123,6,73,34,7,51,63,74
7916110705,True,1753,7,22,12,3,114,62,27,106,17,81,131,61,98,84
7916110510,False,1738,7,22,53,3,39,50,67,7,112,5,44,63,72,93
7916109900,True,1731,7,22,32,3,131,42,11,14,64,26,47,65,8,18
7916109813,True,1547,7,22,71,5,14,25,60,80,131,47,121,68,39,42
7916109717,True,1856,0,4,31,4,56,88,55,59,49,86,60,11,62,71
7916109613,True,1648,7,22,43,5,22,23,114,26,37,99,47,121,75,138
7916109607,True,1624,7,22,64,6,14,86,54,106,96,73,51,21,41,20
7916109501,True,1840,7,22,44,7,119,86,25,26,16,68,121,138,8,84
7916109414,True,1906,7,22,34,2,8,23,74,63,7,88,48,27,104,26
7916109308,True,1662,7,22,32,4,98,86,17,25,111,114,96,53,14,35
7916109118,True,1773,7,22,71,5,63,16,11,22,14,99,73,93,64,37
7916109001,False,1778,7,22,75,9,20,14,44,106,69,86,92,84,39,70
7916108209,True,1819,7,3,24,5,1,75,73,131,35,30,137,6,11,108
7916108202,True,1804,7,22,81,6,138,9,88,126,10,108,8,123,131,76
7916108114,False,1725,0,22,71,2,60,14,31,44,89,104,47,131,18,9
7916108112,False,1644,7,22,24,5,76,44,136,131,128,81,17,123,50,41
7916108007,False,1886,7,22,64,3,49,101,25,22,38,26,16,59,56,35
7916107912,True,1777,7,22,81,9,67,34,131,114,29,106,64,7,49,109
7916107910,False,1826,0,22,35,3,36,5,53,56,88,95,40,9,123,2
7916107816,False,1600,7,22,81,5,9,70,10,2,57,14,21,123,131,16
7916107810,False,1834,7,22,21,3,43,49,114,48,71,81,131,94,27,7
7916107809,False,1885,0,22,42,2,34,53,14,93,39,89,131,135,25,56
7916107717,True,1873,0,4,22,3,14,37,15,90,93,28,12,31,54,70
7916107707,True,1703,7,22,31,5,7,42,86,28,26,30,84,104,74,1
7916107611,True,1958,7,22,32,7,46,16,27,30,99,93,131,91,43,78
7916107519,False,1863,7,22,33,4,13,59,70,87,52,26,104,39,25,102
7916107508,True,1855,7,22,31,3,17,60,14,44,64,83,35,45,28,119
7916107314,True,1955,7,22,32,2,84,49,42,48,27,131,54,9,15,75
7916107312,False,1969,7,22,35,8,136,21,27,14,103,40,42,131,11,106
7916107108,True,1807,7,22,33,3,21,23,71,111,22,35,44,26,29,72
7916107009,True,1831,7,22,61,6,32,99,106,62,20,41,88,11,45,96
7916107001,True,1865,7,22,31,3,53,32,2,84,13,103,42,27,1,94
7916106718,True,1789,7,22,21,2,5,104,1,25,105,81,10,21,30,62
7916106710,False,1918,7,22,45,5,21,131,136,26,93,14,71,138,20,36
7916106510,True,1984,7,22,33,4,19,53,44,108,86,90,94,131,21,76
7916106417,False,1829,7,22,24,3,9,14,5,93,35,2,67,131,119,88
7916106412,False,1840,7,22,32,3,84,94,22,36,20,100,72,42,1,95
7916106410,True,1873,7,22,41,4,14,21,10,104,72,106,68,71,67,101
7916106303,True,1927,7,22,41,5,114,131,34,49,123,64,14,83,120,81
7916106216,False,1774,7,22,73,7,86,18,88,17,104,40,29,42,62,20
7916106208,False,1921,7,22,35,7,11,41,88,128,96,87,76,93,63,2
7916105911,True,1978,7,22,34,7,131,63,26,49,76,86,84,44,19,21
7916105910,True,1899,7,22,35,4,110,47,13,70,14,104,21,75,123,68
7916105710,True,1940,7,22,43,3,1,6,121,131,67,26,94,19,40,99
7916105505,False,1921,7,22,81,6,126,129,100,49,34,7,51,25,98,131
7916105405,True,1954,7,22,72,7,79,74,8,53,43,23,131,21,7,48
7916123106,True,524,7,22,72,5,129,31,76,44,9,11,57,10,16,123
7916121804,True,1346,7,22,33,3,113,42,131,104,37,93,27,36,19,17
7916119611,True,1418,7,22,44,4,16,54,113,64,131,74,26,30,14,44
7916119308,True,1443,7,22,53,2,16,131,39,44,74,11,7,42,37,27
7916118100,True,1382,7,22,31,8,62,64,28,44,131,72,47,75,61,41
