ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7912181818,True,447,0,22,64,2,26,93,98,120,9,30,128,40,44,86
7912178600,True,817,0,22,24,2,31,23,51,49,56,48,113,14,87,60
7912176800,False,888,0,22,44,3,11,83,33,81,138,112,4,48,131,7
7912176701,True,891,0,22,25,2,105,14,54,119,131,19,47,64,70,84
7912171911,False,1000,7,22,35,2,78,53,73,21,18,32,49,77,131,14
7912171716,True,1247,7,22,81,5,17,96,35,46,57,106,123,65,8,104
7912170406,False,1284,7,22,43,4,17,54,111,19,29,131,44,110,86,2
7912166504,False,1467,7,22,33,2,104,131,12,91,123,44,112,57,22,84
7912165106,True,1320,7,22,63,4,21,25,7,57,14,131,72,20,36,9
7912165013,False,1490,7,22,54,4,49,86,94,21,25,59,87,97,131,63
7912164903,True,1464,7,22,21,3,8,84,50,39,22,71,86,63,6,99
7912164711,False,1385,0,22,53,4,40,34,17,70,101,71,35,53,97,23
7912164707,True,1501,7,22,34,6,107,11,51,29,76,42,91,86,104,101
7912164417,False,1448,7,22,44,3,44,1,131,61,71,94,84,19,50,43
7912163605,True,1487,0,22,62,5,7,131,45,15,44,30,95,101,34,26
7912163002,True,1441,7,22,61,3,70,131,2,92,51,95,19,123,36,74
7912162610,True,1434,0,22,43,4,18,39,11,42,131,36,49,110,138,78
7912162513,True,1476,0,22,31,3,53,37,7,31,14,81,22,48,30,102
7912162319,True,1573,7,22,41,4,21,121,75,41,60,26,76,6,123,16
7912162215,True,1349,7,22,42,6,52,57,68,61,11,93,5,138,98,59
7912161911,False,1465,7,22,23,2,7,36,119,28,5,99,25,40,91,21
7912161615,True,1549,7,22,52,8,83,39,98,8,101,43,18,62,87,21
7912161609,True,1441,7,22,54,6,19,62,40,54,14,67,102,76,2,87
7912161318,True,1536,7,22,44,8,100,48,112,113,1,74,123,136,91,60
7912160605,True,1684,7,22,42,3,84,62,131,2,106,60,128,97,21,35
7912159717,True,1650,7,22,62,3,35,50,94,131,2,114,56,28,57,39
7912159112,False,1426,7,22,43,5,7,36,97,54,104,123,74,131,43,48
7912158908,True,1556,0,22,41,3,101,37,96,49,126,44,104,30,131,64
7912158509,False,1692,7,22,21,3,35,89,26,11,62,104,5,53,8,113
7912158315,True,1498,7,22,55,3,62,61,37,80,41,34,43,42,91,14
7912158314,False,1558,0,22,43,5,131,59,62,26,1,87,114,27,65,77
7912158213,False,1696,7,22,34,3,19,60,114,54,14,21,137,33,136,131
7912157303,True,1790,7,22,75,8,60,100,11,131,106,47,50,19,98,70
7912157100,False,1566,7,22,81,4,67,84,78,22,62,137,14,44,131,104
7912156901,True,1535,7,22,55,8,73,42,31,131,13,11,64,100,55,39
7912156717,False,1802,0,22,42,4,84,86,2,11,26,50,131,6,16,81
7912156710,False,1603,7,22,42,2,25,123,87,54,40,2,75,18,91,39
7912156706,True,1810,7,22,44,8,68,107,61,1,30,47,109,42,17,26
7912156317,False,1620,7,22,74,3,7,88,11,84,8,51,14,2,48,75
7912156314,True,1497,7,22,45,4,70,111,25,104,123,42,40,131,16,39
7912156111,True,1537,0,4,41,6,74,36,100,22,8,35,48,42,11,64
7912156013,True,1599,7,22,81,2,46,4,123,19,131,53,28,119,50,54
7912155918,False,1556,7,22,54,7,73,121,50,29,94,70,2,31,87,48
7912155915,False,1723,7,22,43,5,93,107,39,86,20,92,63,37,48,23
7912155819,True,1829,7,22,53,5,126,74,30,131,136,42,102,21,31,10
7912155716,False,1630,7,22,63,2,79,121,2,41,25,64,129,26,42,82
7912155704,False,1739,7,22,42,5,21,53,36,98,95,54,40,104,106,101
7912155411,False,1671,7,22,62,7,11,99,34,131,9,14,62,107,60,6
7912155407,True,1597,7,22,41,7,40,39,48,92,84,103,1,110,60,88
7912155402,True,1843,7,22,45,4,57,39,31,14,35,109,20,1,97,131
7912155303,True,1785,7,22,24,3,42,74,19,5,30,104,121,82,54,131
7912155207,True,1593,7,22,51,3,73,131,36,71,26,123,54,77,47,59
7912155119,False,1810,7,22,53,3,27,7,94,106,62,61,39,1,86,14
7912155011,False,1870,7,22,71,7,104,76,22,20,25,62,131,96,86,18
7912155004,True,1839,7,22,75,8,16,70,14,39,121,131,86,53,13,28
