ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7915792108,True,1219,7,22,81,4,88,120,111,128,114,11,22,75,49,41
7915790411,True,1254,7,22,64,7,25,21,83,73,5,106,129,87,19,71
7915789903,True,1345,7,22,81,2,44,50,38,14,74,16,131,27,25,23
7915784717,True,1403,7,22,42,5,47,61,60,64,131,17,26,35,2,33
7915784212,True,1597,7,22,43,4,70,58,7,71,42,11,16,67,131,34
7915784115,False,1197,7,22,73,5,128,41,126,84,59,35,4,137,11,5
7915784008,False,1642,7,22,81,7,44,86,33,83,15,49,102,2,136,25
7915784002,False,1579,7,22,81,4,19,131,18,49,26,41,123,111,85,25
7915783815,True,1643,7,22,31,4,15,26,106,56,73,68,40,8,28,53
7915783614,False,1702,7,22,64,4,21,126,31,100,54,17,5,63,74,62
7915783515,True,1383,7,22,81,2,63,131,109,17,28,97,129,5,71,48
7915783201,True,1640,7,22,71,4,40,7,106,31,93,70,64,105,76,100
7915783113,True,1736,7,22,54,6,13,131,48,30,36,47,84,81,64,11
7915783000,True,1667,7,22,74,5,93,25,28,100,86,74,136,31,18,91
7915782911,False,1676,7,22,51,7,22,18,76,49,37,28,86,114,34,1
7915782509,False,1838,7,22,53,5,119,44,88,36,11,31,74,9,98,26
7915782319,False,1817,7,22,43,5,104,22,16,41,74,70,85,42,64,25
7915782309,True,1595,7,22,42,4,14,112,131,99,8,84,73,44,71,59
7915782305,False,1812,7,22,74,3,44,20,22,131,78,21,26,106,67,102
7915782005,True,1848,7,22,25,7,72,129,84,53,5,123,6,31,42,44
7915781910,False,1908,0,4,41,4,104,14,129,64,32,63,12,88,84,111
7915781900,True,1830,7,22,42,4,40,70,36,93,33,90,1,22,131,19
7915781612,False,1825,7,22,32,4,33,131,63,129,95,10,84,42,88,20
7915781608,True,1768,7,22,64,7,21,104,111,1,100,131,42,49,34,120
7915781114,True,1976,7,22,52,4,11,27,108,8,5,26,25,32,20,28
7915781100,False,1933,7,22,81,6,86,98,4,13,52,14,1,102,3,53
7915780919,False,1918,7,22,41,4,83,38,26,70,17,15,53,39,86,2
7915780709,True,1905,7,22,61,4,40,20,2,107,54,63,74,51,70,21
7915780608,False,2067,7,22,42,5,74,31,27,35,16,44,57,71,50,39
7915780604,False,2083,0,4,24,2,62,23,11,86,74,84,71,35,22,87
7915780512,False,1882,7,22,31,3,44,102,100,11,2,25,71,121,87,8
7915780416,True,1783,7,22,31,2,71,68,17,100,81,28,93,101,40,104
7915780405,True,1902,7,22,33,6,71,98,13,64,44,131,46,74,123,2
7915780403,True,1869,7,22,41,5,30,64,60,42,46,96,95,26,79,14
7915780303,True,1774,7,22,61,5,131,8,98,11,97,68,67,104,100,64
7915780301,False,1858,7,22,53,6,106,72,67,78,75,82,74,81,5,76
7915780118,False,2080,7,22,41,6,26,98,1,131,11,64,126,53,99,94
7915780117,False,2070,0,4,35,3,87,39,85,67,73,44,68,101,71,55
7915780102,True,1833,7,22,61,3,31,131,8,104,129,119,15,14,13,96
7915780009,False,2037,0,4,33,2,64,5,44,101,12,99,26,56,2,109
7915779914,True,1954,7,22,21,5,73,63,23,105,42,74,27,44,97,11
7915779811,True,1793,0,22,34,3,8,31,131,94,77,123,3,1,98,107
7915779619,False,1851,7,22,34,4,121,19,26,25,44,131,101,8,2,64
7915779618,True,1988,7,22,61,6,106,111,73,104,86,131,7,123,25,41
7915779612,True,1992,7,22,33,3,10,2,131,32,68,93,11,17,85,74
7915779207,False,1869,0,22,54,7,75,10,86,104,39,112,9,18,121,71
7915779101,False,2003,7,22,44,7,136,57,25,98,17,121,2,8,74,102
7915779011,False,2138,7,22,53,3,94,74,14,97,20,131,41,11,15,87
7915779009,False,1951,7,22,81,6,64,55,11,42,7,121,104,44,126,22
