ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7910333601,True,928,0,22,24,2,42,44,6,17,109,107,135,18,47,41
7910332109,False,1110,7,22,62,6,67,26,75,42,59,128,131,94,70,114
7910331016,True,959,7,22,71,7,39,104,131,42,86,15,129,44,111,71
7910327318,True,1013,7,22,24,2,93,71,131,6,7,56,120,9,19,113
7910324415,True,1352,7,22,42,4,72,91,100,76,42,27,96,4,123,48
7910322509,True,1224,7,22,64,4,86,20,98,11,14,19,16,131,9,17
7910322417,True,1129,7,22,31,2,29,26,11,97,80,84,99,104,81,131
7910322409,False,1459,0,22,44,6,28,25,12,92,137,53,131,14,44,108
7910321906,False,1463,7,22,51,4,104,14,85,19,1,94,44,42,131,17
7910320714,False,1427,7,22,43,4,104,71,53,44,86,19,46,128,64,13
7910320100,False,1484,7,22,64,3,108,138,35,131,136,29,21,86,31,25
7910317805,True,1344,7,22,52,8,27,14,11,37,42,38,131,41,26,21
7910317618,True,1606,7,22,81,5,17,33,64,49,129,106,131,137,63,10
7910317413,True,1272,7,22,51,5,64,1,76,131,81,110,96,47,25,114
7910316913,True,1323,0,22,22,2,123,88,35,42,137,81,8,14,131,121
7910316716,True,1643,7,22,42,4,14,35,41,105,131,126,18,101,96,34
7910316708,False,1651,7,22,62,5,21,44,85,23,16,64,19,131,62,42
7910316610,True,1559,7,22,51,6,42,44,131,14,56,40,29,48,90,75
7910316517,True,1509,7,22,81,6,55,44,39,14,131,27,22,98,86,70
7910315801,True,1517,7,22,43,5,131,5,2,13,70,98,31,8,75,14
7910315714,True,1613,7,22,51,7,14,21,98,8,26,128,35,104,36,70
7910315509,True,1494,0,4,61,8,91,58,129,14,11,20,36,102,106,21
7910314618,False,1628,0,22,73,7,2,63,9,5,131,34,128,14,70,106
7910314414,False,1606,7,22,64,3,84,9,36,21,110,86,44,52,49,13
