ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7916447409,True,714,7,22,54,6,87,13,74,2,44,58,75,111,53,73
7916443907,False,1053,7,22,51,3,26,1,11,49,105,85,84,80,137,131
7916442500,False,1170,7,22,52,6,14,64,8,7,16,88,2,67,17,84
7916440811,True,1168,7,22,25,4,85,108,44,47,7,54,29,15,131,121
7916440511,True,1086,7,22,41,7,11,7,128,14,8,100,21,50,41,15
7916437717,True,1350,7,22,62,2,137,9,26,73,70,8,99,14,131,100
7916437610,False,1238,7,22,51,3,113,48,52,119,31,35,29,131,30,70
7916437605,False,1302,0,4,74,6,49,52,11,68,41,19,86,36,35,72
7916436911,True,1350,7,22,53,5,22,8,84,102,29,25,55,1,131,20
7916436302,True,1333,7,22,55,7,4,61,104,58,5,11,30,26,96,8
7916434918,True,1359,7,22,53,6,102,63,106,126,21,88,69,41,59,37
7916434116,True,1318,7,22,62,6,46,58,131,8,23,47,91,2,88,114
7916432715,False,1435,7,22,24,4,42,26,58,36,39,14,11,35,57,123
7916432512,True,1313,7,22,12,2,1,114,86,8,119,6,14,57,56,11
7916432317,True,1593,7,22,44,6,33,104,123,35,70,106,75,71,4,5
7916431815,False,1336,7,22,53,3,69,63,49,30,14,37,131,7,42,97
7916431706,False,1617,7,22,81,6,123,9,93,84,26,28,131,102,53,49
7916431702,False,1331,7,22,54,6,109,17,97,131,20,111,44,137,86,64
7916431212,True,1587,7,22,64,5,7,86,61,48,64,47,21,84,20,88
7916430909,True,1638,7,22,41,3,105,131,74,44,2,42,14,7,8,53
7916430908,False,1503,7,22,74,2,22,14,131,44,7,86,97,29,6,102
7916430804,True,1476,7,3,44,7,80,92,76,98,86,81,2,5,138,7
7916430617,True,1625,7,22,71,4,26,104,18,119,59,63,129,135,14,72
7916430615,False,1497,0,22,54,10,8,85,123,15,9,137,7,93,71,131
7916430604,True,1495,7,22,72,9,31,44,28,22,102,35,42,54,123,39
7916430514,False,1346,7,22,73,6,114,35,104,73,131,30,2,21,138,8
7916430505,True,1711,7,22,64,5,131,7,49,64,21,86,108,74,8,20
7916430116,True,1498,7,22,81,4,56,34,27,21,108,101,15,20,52,48
7916430108,True,1394,0,22,63,5,57,38,48,36,75,107,97,22,7,10
7916429618,True,1564,7,22,33,3,85,35,6,43,88,44,36,123,26,25
7916429615,True,1744,7,22,61,9,97,34,86,25,14,93,105,13,2,37
7916429219,True,1421,7,22,81,4,49,43,19,12,14,53,98,37,21,13
7916429211,False,1438,7,22,44,3,44,123,96,37,74,104,137,131,8,97
7916428902,True,1590,7,22,21,2,84,2,89,91,114,1,11,26,19,104
7916428610,False,1585,7,22,52,4,8,17,26,42,72,27,21,29,11,18
7916428606,True,1728,0,22,23,2,131,49,35,20,74,84,1,14,34,104
7916428605,False,1707,7,22,53,5,25,8,123,49,30,36,119,74,93,95
7916428505,True,1484,7,22,41,6,11,136,30,129,64,74,89,42,14,123
7916428416,False,1626,7,22,33,4,5,59,67,9,39,62,49,29,13,26
7916428307,True,1504,7,22,71,3,76,2,97,64,8,108,84,25,111,119
7916428203,True,1531,0,22,53,4,119,59,106,1,20,29,10,86,25,26
7916428014,True,1499,7,22,51,5,71,101,1,49,113,21,87,86,16,104
7916427912,True,1556,7,22,71,6,114,44,58,49,7,63,80,9,106,78
7916427705,True,1631,0,22,43,7,131,19,93,102,25,138,40,41,14,44
7916427704,False,1734,7,22,63,7,42,92,131,1,19,101,39,2,53,72
7916427700,False,1688,7,22,42,4,74,50,120,54,86,21,96,35,5,111
7916427619,True,1827,7,22,42,4,129,5,44,106,57,14,68,136,54,84
7916427612,False,1571,7,22,81,7,53,42,88,39,50,9,64,131,70,49
7916427507,False,1784,7,22,71,6,76,109,62,2,123,56,90,63,57,41
7916427408,False,1731,7,22,73,8,44,110,136,14,137,46,101,109,37,104
7916427019,True,1604,7,22,61,3,50,85,84,23,63,8,35,104,106,20
7916427015,True,1577,7,22,81,4,14,74,70,104,131,93,137,9,45,5
7916426912,True,1597,7,22,22,4,86,14,8,59,2,44,26,131,99,21
7916426900,False,1640,7,22,61,9,131,74,64,96,48,50,106,86,28,54
7916426804,True,1561,7,22,51,2,6,5,39,128,84,11,93,48,16,82
7916426710,True,1829,7,22,51,4,71,11,131,4,101,106,27,135,100,44
7916426709,True,1726,7,22,41,7,6,137,87,25,131,114,28,90,37,54
7916426518,True,1573,7,22,33,5,44,35,30,74,119,6,121,50,28,75
7916426516,False,1732,7,22,22,6,88,19,16,99,114,85,42,93,73,92
7916426500,True,1577,7,22,34,2,13,12,108,111,84,14,39,85,126,50
7916426407,True,1614,7,22,81,2,17,34,99,136,123,31,61,16,131,7
7916426405,True,1686,7,22,25,4,5,131,8,137,93,36,21,97,96,20
7916426007,True,1644,7,22,52,7,65,44,50,129,22,14,131,86,27,1
7916425617,True,1761,7,22,73,2,106,44,53,102,14,50,96,138,113,34
7916425601,False,1831,0,22,32,6,6,64,131,88,28,96,39,70,123,56
7916425513,False,1796,7,22,24,7,7,40,42,114,5,47,104,8,131,37
7916425512,False,1672,7,22,81,7,59,44,57,20,79,69,10,51,17,131
7916425117,False,1868,7,22,52,6,10,83,53,76,71,137,123,11,44,31
7916425103,True,1801,7,22,31,4,71,101,86,48,75,25,27,22,44,14
7916425018,True,1922,0,22,31,3,84,2,94,53,21,49,47,101,81,44
7916425004,False,1786,7,22,72,6,28,88,17,31,32,11,49,131,137,58
7916425000,True,1700,7,22,63,5,74,86,1,14,34,49,45,107,63,119
7916424919,True,1797,7,22,75,6,102,71,112,16,54,114,121,39,131,47
7916424905,False,1651,7,22,63,7,104,64,101,2,126,131,114,102,74,120
7916449314,False,577,0,22,53,7,110,80,58,29,21,68,51,55,1,41
