ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7916525814,True,557,0,22,13,2,47,56,53,82,21,98,135,71,39,113
7916522413,False,875,0,22,15,2,14,74,55,50,28,83,113,112,15,13
7916516012,False,1092,0,22,51,3,1,85,70,30,129,7,131,80,44,128
7916514419,True,987,7,22,52,8,131,76,28,51,49,106,21,108,42,14
7916514013,False,1163,7,22,41,5,5,42,103,128,89,104,102,57,94,6
7916513518,True,1047,7,22,44,5,4,102,31,17,97,6,98,7,131,68
7916510305,False,1259,7,22,41,6,39,60,41,63,131,61,2,7,46,50
7916510300,False,1240,7,22,41,2,131,88,113,1,7,110,76,91,136,99
7916510114,True,1032,7,22,81,3,49,64,98,74,114,78,87,8,86,110
7916509711,True,1257,7,22,13,3,61,93,14,83,5,74,84,44,94,131
7916509606,False,849,7,22,75,9,102,108,15,86,49,9,71,20,51,53
7916509508,True,1397,0,22,15,2,85,79,6,11,32,44,2,93,30,138
7916508702,True,1412,7,22,42,4,84,92,54,36,131,93,16,27,97,74
7916508605,False,1258,0,22,52,9,2,20,121,36,102,69,131,15,13,84
7916507108,False,1246,0,22,42,7,67,9,73,21,83,14,104,56,136,94
7916506410,True,1223,7,22,74,6,21,30,82,18,57,13,71,96,64,67
7916506409,True,1448,7,22,64,5,83,11,106,97,105,120,44,28,27,123
7916505510,False,1546,7,22,73,3,84,25,68,16,8,128,44,5,56,7
7916505107,True,1580,7,22,21,2,5,25,14,33,19,6,26,109,2,106
7916504906,True,1377,7,22,64,5,8,30,11,21,2,73,40,78,26,25
7916504806,True,1346,7,22,32,3,14,39,44,5,61,105,113,47,40,74
7916504615,False,1365,0,22,32,2,47,19,57,5,22,32,106,14,6,131
7916504511,False,1476,7,22,55,8,97,15,11,51,18,49,73,13,9,62
7916504103,True,1310,0,22,44,4,13,92,45,11,1,20,114,9,101,28
7916503906,False,1428,7,22,31,3,48,85,138,49,86,58,59,104,14,6
7916503100,True,1617,7,22,51,6,22,97,21,16,40,94,23,74,12,102
7916502717,True,1628,7,22,24,3,6,34,14,56,99,67,75,120,84,7
7916502305,False,1512,7,22,71,5,107,108,30,39,8,21,84,54,97,25
7916500802,True,1592,0,4,43,3,114,93,60,47,22,107,126,73,104,30
7916500016,True,1793,7,22,31,2,56,81,98,17,86,53,85,5,70,11
7916499819,True,1724,7,22,34,4,135,5,14,86,12,131,87,69,113,63
7916499618,True,1788,7,22,41,3,47,56,53,21,64,7,14,71,10,131
7916499101,False,1687,0,4,34,5,29,128,102,80,109,138,85,103,99,17
7916498704,True,1673,7,22,51,3,2,21,136,11,35,64,84,97,74,44
7916498502,False,1620,7,22,14,3,101,44,31,11,38,63,57,105,34,104
7916498305,False,1663,7,22,55,9,54,42,59,83,86,35,8,111,96,76
7916498119,True,1805,7,22,25,2,131,31,70,14,77,20,19,17,27,42
7916497801,False,1530,7,22,51,4,71,29,79,63,74,104,70,53,101,64
7916497105,True,1738,7,22,14,3,131,81,37,43,5,78,14,71,138,26
7916497104,True,1885,7,22,73,6,111,73,35,19,131,57,86,46,38,101
7916497003,False,1815,7,22,54,3,49,35,42,40,86,9,102,22,55,111
7916496911,True,1647,7,22,53,9,49,84,40,8,78,25,31,108,44,101
7916496909,True,1809,7,22,63,4,86,19,10,14,63,49,74,29,21,131
7916496901,False,1910,7,22,51,4,120,86,64,53,2,131,14,42,27,114
7916496502,False,1810,7,22,41,5,82,101,93,50,2,44,7,104,83,111
7916496416,True,1912,7,22,32,6,30,1,93,42,20,36,11,77,103,6
7916496319,True,1921,7,22,44,4,131,14,67,35,60,37,8,28,11,121
7916496305,True,1774,7,22,22,3,62,84,26,137,25,131,98,53,39,44
7916496219,True,1876,7,22,63,3,44,75,98,31,123,10,110,39,16,26
7916496210,True,1645,7,22,61,8,70,47,131,57,25,63,108,37,9,64
7916496113,False,1675,7,22,61,4,74,29,105,27,25,14,11,30,6,108
7916496110,True,1881,7,22,33,5,30,53,76,2,8,6,74,26,34,104
7916496109,True,1781,7,22,42,5,83,70,105,25,97,54,50,26,137,44
7916495806,True,1752,7,22,32,4,35,52,137,18,121,5,44,39,9,54
7916495613,True,1959,7,22,22,2,114,111,26,2,74,14,10,137,131,36
7916495508,False,1871,7,22,21,2,26,16,41,11,87,27,93,101,15,10
7916495100,True,1926,7,22,31,2,6,77,81,71,21,14,40,36,50,60
7916494906,True,1681,7,22,21,2,131,49,29,119,83,81,82,30,62,121
7916494904,True,1799,7,22,14,2,27,71,86,35,12,84,75,8,106,49
7916494819,True,1835,0,22,42,4,93,39,5,48,40,41,108,21,62,18
7916494716,True,1947,7,22,51,7,131,42,20,69,107,102,21,35,72,2
7916494703,True,1914,7,22,32,3,104,131,93,110,89,9,112,44,18,7
7916494701,False,1589,7,22,61,5,28,30,138,75,39,7,131,37,53,1
7916494615,False,1829,7,22,62,5,71,47,70,57,63,16,53,119,41,87
7916494600,False,1786,0,22,34,4,35,40,90,25,1,129,7,75,104,93
7916494500,False,1807,7,22,32,2,75,8,26,41,47,3,25,22,94,81
7916494404,True,1907,7,22,61,5,41,4,110,60,17,98,51,1,26,39
7916494401,True,1705,7,22,51,3,35,57,104,131,44,49,48,101,100,33
7916494316,True,1617,0,22,55,9,114,92,2,101,106,22,44,37,135,51
7916494301,True,1931,7,22,64,6,20,26,63,106,7,83,44,21,64,131
7916494208,False,1935,7,22,42,2,35,74,93,96,86,110,81,64,70,50
7916494000,False,1961,7,22,71,4,98,64,123,8,39,14,70,108,68,20
7916493816,True,1899,7,22,51,5,104,70,131,94,7,28,53,25,35,84
7916493614,False,1783,7,22,41,5,26,44,136,19,36,99,34,39,71,47
7916493414,False,1800,7,22,54,6,106,114,35,102,28,17,26,131,8,97
