ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7916047800,True,487,0,22,51,4,104,33,39,86,73,54,105,29,138,114
7916046709,False,990,7,22,64,5,20,26,38,70,18,98,68,93,113,27
7916043713,False,1202,7,22,62,6,29,8,9,131,28,35,81,104,119,75
7916043500,False,977,0,22,62,6,86,44,74,39,2,29,93,131,110,106
7916041614,True,1205,7,22,23,3,136,91,31,7,16,1,17,131,61,20
7916041217,True,1301,7,22,63,5,17,129,107,44,131,106,68,49,26,22
7916040713,False,1245,7,22,41,4,51,41,106,71,75,17,62,23,19,84
7916039214,True,1489,7,22,41,5,26,106,104,81,91,14,44,61,129,123
7916039212,False,1611,7,22,72,8,47,1,106,51,83,97,131,25,9,30
7916039113,False,1538,7,22,64,3,15,53,64,57,106,7,138,19,35,14
7916039104,True,1436,7,22,31,2,23,45,2,8,100,71,50,114,28,42
7916038910,True,1377,7,22,31,3,94,123,106,77,131,1,7,105,104,101
7916038712,True,1588,7,22,41,7,2,5,25,68,126,93,17,98,9,87
7916038711,False,1666,7,22,14,4,84,113,105,27,56,47,4,11,109,102
7916038701,True,1633,7,22,34,5,25,105,84,30,71,27,1,58,112,73
7916038605,False,1256,7,22,51,3,114,11,88,121,69,5,93,43,71,113
7916038516,True,1586,7,22,14,2,123,49,53,71,67,2,14,26,17,93
7916038002,True,1450,7,22,63,5,20,34,137,87,44,64,1,30,28,23
7916037413,True,1652,7,22,71,3,98,62,80,43,131,136,81,41,35,14
7916037407,True,1765,7,22,61,8,94,106,69,100,121,50,48,11,104,75
7916037318,True,1776,7,22,23,2,82,105,36,28,94,67,30,98,123,74
7916037114,True,1769,7,22,73,4,94,14,62,104,1,27,17,71,6,129
7916037000,True,1798,7,22,61,4,25,103,102,86,131,136,48,52,101,129
7916036917,False,1681,0,4,21,2,69,105,98,114,104,21,8,5,95,43
7916036908,True,1638,7,22,35,2,45,36,67,30,19,9,42,13,75,104
7916036819,True,1636,0,22,45,4,31,59,10,5,14,138,131,119,1,129
7916036810,False,1537,7,22,43,3,3,74,2,5,10,11,7,96,56,34
7916036804,False,1834,7,22,43,2,59,27,35,98,10,26,131,23,8,104
7916036617,True,1735,7,22,81,6,18,26,98,31,120,14,2,102,22,93
7916036613,False,1880,7,22,53,3,71,35,53,93,43,57,19,86,70,28
7916036604,True,1758,7,22,71,6,62,71,25,88,77,131,129,22,11,6
7916036603,True,1669,7,22,63,3,35,110,136,22,93,85,94,73,99,43
7916036414,False,1603,0,4,15,3,5,104,71,22,135,109,34,27,94,56
7916036403,True,1660,7,22,75,6,131,39,106,6,16,1,52,5,71,29
7916036312,True,1854,7,22,42,4,26,94,28,14,131,9,1,51,35,42
7916036219,False,1534,7,22,52,3,30,2,114,63,25,104,39,90,50,41
7916036209,True,1561,7,22,55,4,131,84,8,106,104,13,119,136,6,135
7916036103,False,1823,7,22,81,4,20,22,53,15,48,18,69,72,35,131
7916036007,False,1739,7,22,52,7,10,28,1,102,88,86,42,13,64,94
7916035914,True,1883,7,22,25,3,6,20,35,57,60,128,29,7,50,94
7916035718,True,1744,7,22,52,5,64,27,13,44,49,131,82,41,100,5
7916035518,True,1738,7,22,32,3,34,96,13,8,87,7,128,25,29,39
7916035504,True,1773,7,22,61,6,71,13,1,85,2,56,88,22,92,53
7916035316,True,1740,7,22,81,5,121,44,60,39,14,104,50,17,12,52
7916035207,False,1955,7,22,42,2,57,77,93,5,11,62,74,131,48,2
7916035205,True,1905,7,22,81,3,63,76,60,34,44,41,53,26,79,110
7916035200,True,1700,0,22,42,4,9,35,4,11,46,34,131,97,44,53
7916035101,True,1853,7,22,81,7,86,2,51,76,11,83,44,28,123,21
7916034916,True,1997,7,22,61,6,137,26,1,47,79,63,131,3,25,84
7916034913,False,1950,7,22,24,6,107,99,68,23,119,88,42,112,131,1
7916034813,False,1969,7,22,21,4,2,9,37,95,105,8,100,104,85,25
7916034714,True,1946,7,22,23,2,44,14,27,104,35,25,18,80,123,1
7916034712,False,1962,7,22,31,5,6,7,25,36,131,75,44,71,47,49
7916034512,True,1793,7,22,45,3,94,131,64,113,71,15,46,30,101,1
7916034509,True,1973,7,22,81,5,131,98,13,93,89,39,60,136,14,11
7916034414,True,1887,7,22,74,7,67,64,90,99,19,96,53,86,25,111
7916034408,False,2000,7,22,81,5,83,52,14,104,25,78,97,11,53,13
7916034401,False,1793,7,22,61,5,28,106,50,93,14,67,9,84,81,123
7916034306,True,1795,7,22,13,3,2,61,20,32,21,131,17,129,18,9
7916034211,True,1981,7,22,81,5,39,6,26,131,104,14,7,98,74,84
7916033808,True,2079,0,22,61,5,7,61,34,86,49,20,131,112,59,9
7916033712,False,2011,7,22,43,5,72,131,11,81,85,39,57,67,29,37
7916033703,True,1882,7,22,33,2,39,129,26,85,106,84,99,11,31,8
7916033615,True,1923,7,22,21,2,27,19,104,4,14,100,20,123,41,11
7916033512,True,2061,7,22,21,2,47,53,14,81,63,27,11,131,71,3
7916033503,False,1944,7,22,32,4,46,31,49,11,9,86,131,93,111,26
7916033501,True,1892,7,22,35,5,47,18,34,27,105,37,22,101,70,85
7916033416,False,1923,7,22,51,3,56,100,32,53,54,104,102,23,22,8
7916033415,True,1999,7,22,55,5,86,55,98,90,18,88,120,51,54,16
7916033413,False,1907,7,22,52,3,74,111,114,51,129,59,98,75,44,131
7916033404,False,2104,7,22,54,7,71,35,9,86,64,131,44,126,2,102
7916033401,True,2003,7,22,55,2,64,8,100,106,53,131,31,93,62,22
7916033314,False,2072,7,22,42,2,121,101,44,23,131,94,39,62,96,5
7916033309,False,1932,7,22,23,3,95,35,25,62,11,17,73,93,131,14
7916033217,True,1913,7,22,51,2,85,20,126,42,64,97,8,45,2,11
7916033102,True,2040,7,22,52,5,96,35,25,67,14,64,30,60,22,93
7916033019,False,2126,7,22,53,6,21,96,11,52,26,37,86,14,108,44
7916033015,True,1859,7,22,22,2,113,83,49,99,84,85,41,26,14,126
7916032914,False,1936,7,22,51,3,26,36,128,71,44,43,6,107,131,96
7916049517,True,418,7,22,21,2,123,129,74,44,75,49,20,67,37,86
7916044909,True,1477,7,22,41,3,136,37,9,98,107,6,13,5,28,74
7916044702,False,1350,7,22,65,6,123,5,44,50,15,1,45,68,14,27
7916044506,False,1287,0,22,24,5,11,87,99,129,22,41,102,74,95,45
7916044203,True,1367,7,22,74,2,97,7,106,40,21,11,26,44,14,58
7916044117,False,1371,7,22,81,6,86,69,17,131,25,48,57,33,52,88
7916043404,False,1635,7,22,44,2,85,66,104,49,86,23,114,5,87,35
7916043319,True,1341,7,22,71,4,123,80,86,29,25,17,60,74,68,44
7916043312,False,1468,7,22,51,8,8,101,17,110,69,131,11,95,68,104
7916043117,True,1535,7,22,52,4,58,16,93,102,36,101,54,75,14,2
7916043115,True,1377,7,22,31,5,23,22,131,53,93,6,27,128,98,42
7916042712,False,1414,7,22,42,4,131,54,84,56,112,59,113,50,90,42
7916042701,True,1618,7,22,81,3,39,34,123,28,109,129,100,19,6,64
7916042415,False,1687,7,22,75,9,105,17,10,94,2,93,14,1,104,102
7916042313,False,1570,7,22,61,3,5,59,93,34,99,14,44,105,11,55
7916042215,False,1729,7,22,51,6,129,45,62,70,14,104,15,20,5,98
7916042102,False,1597,7,22,63,4,26,104,39,63,101,112,123,16,92,53
7916041213,True,1686,7,22,24,2,8,86,27,98,69,75,51,129,72,12
7916041015,True,1540,7,22,81,5,48,57,131,53,7,106,78,123,1,26
7916041004,True,1686,7,22,63,4,19,29,74,37,70,8,80,100,84,2
7916040908,True,1857,7,22,71,5,14,7,75,80,114,70,61,78,33,86
7916040906,False,1673,7,22,33,2,17,120,44,88,131,84,126,35,64,42
7916040901,False,1642,7,22,71,8,93,87,36,9,42,39,131,31,108,41
7916040811,False,1822,7,22,32,6,94,50,111,11,96,84,93,27,16,20
7916040802,True,1554,7,22,45,5,114,26,33,81,50,104,63,88,131,102
7916040716,True,1798,7,22,55,4,93,11,35,104,131,114,8,21,120,23
