ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7915849701,True,1119,7,22,24,4,61,27,14,20,104,26,84,42,131,35
7915848814,True,1089,7,22,21,3,83,8,99,14,121,2,50,94,22,51
7915848710,True,1057,7,22,51,2,102,74,131,6,34,26,8,9,17,108
7915848502,True,783,7,22,34,6,39,5,94,20,1,2,121,53,17,67
7915848204,True,1022,7,22,81,4,10,64,61,57,49,44,17,131,123,21
7915847502,True,1410,7,22,73,3,23,131,98,18,70,83,19,42,63,32
7915846808,False,1290,7,22,52,4,5,55,42,13,25,64,18,7,74,11
7915846706,False,1589,7,22,63,4,131,2,31,21,48,61,86,104,75,42
7915846502,True,1534,7,22,31,4,59,74,131,42,54,138,83,93,76,50
7915846406,False,1536,7,22,54,3,26,95,44,53,104,27,82,38,123,10
7915846208,True,1577,7,22,41,3,17,44,50,111,137,106,64,8,49,84
7915845609,False,1603,7,22,42,8,106,30,84,44,136,54,26,135,49,72
7915845110,True,1477,7,22,74,6,126,136,5,94,104,135,19,16,25,21
7915844606,True,1695,7,22,34,4,119,14,93,50,61,64,42,47,3,16
7915844319,True,1694,7,22,81,5,53,2,114,68,50,67,25,5,14,129
7915844306,True,1780,0,22,32,3,131,36,8,106,40,71,136,6,108,11
7915844204,True,1609,7,22,62,6,16,11,26,25,131,10,75,71,14,53
7915843812,True,1704,0,22,51,7,101,14,96,131,72,138,19,63,2,86
7915843507,False,1656,7,22,62,5,50,41,49,3,40,42,60,14,91,87
7915843418,False,1652,0,4,13,2,63,75,44,112,92,6,56,46,93,3
7915843406,False,1687,7,22,81,6,11,96,35,19,131,26,48,114,59,105
7915843000,True,1835,7,22,41,4,20,110,131,27,81,102,42,26,74,86
7915842906,True,1732,7,22,33,5,44,103,28,62,35,25,17,34,99,86
7915842714,False,1857,7,22,52,6,36,123,35,64,44,39,48,30,98,86
7915842606,True,1905,7,22,42,4,53,93,65,10,71,11,28,91,18,66
7915842605,True,1893,0,22,62,7,128,99,11,107,8,131,74,27,67,69
7915842510,True,1980,7,22,75,7,94,97,14,17,112,31,41,131,25,10
7915842407,True,1899,0,4,44,3,5,48,29,105,42,4,128,94,69,64
7915842318,False,1898,7,22,51,2,42,7,51,104,71,131,86,111,16,18
7915842206,False,1915,7,22,21,3,4,26,41,20,30,25,99,131,44,75
7915841906,True,1853,7,22,45,2,87,70,21,2,22,46,86,34,41,85
7915841815,False,1751,7,22,41,5,114,104,131,137,74,62,41,36,100,31
7915841802,True,1794,7,22,65,3,131,65,97,46,119,44,27,10,14,71
7915841708,True,1978,7,22,71,3,97,54,75,6,112,35,11,99,111,93
