ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7916323803,True,390,0,22,43,4,101,123,19,30,23,87,39,131,44,96
7916322608,False,697,0,4,31,5,67,10,62,114,27,19,26,1,46,49
7916315118,False,630,0,22,21,3,128,46,75,77,17,131,49,25,94,5
7916312406,False,1002,7,22,81,2,20,87,76,104,99,89,31,25,15,98
7916311003,False,1189,7,22,41,4,67,123,120,2,56,51,84,44,11,104
7916310919,True,984,0,22,33,3,86,16,49,109,63,69,106,22,136,10
7916310709,False,1191,7,22,51,3,35,131,44,98,5,129,11,86,74,45
7916309213,True,1345,7,22,21,3,91,69,14,119,95,74,123,104,27,44
7916308708,True,1390,0,22,44,7,49,51,30,39,42,131,56,64,2,35
7916308518,False,1191,0,4,41,3,31,53,76,49,41,62,93,91,74,29
7916306319,True,1403,0,4,53,6,37,81,79,17,49,33,73,99,15,26
7916305505,False,1432,7,22,35,5,95,30,73,106,102,39,86,6,104,88
7916305115,True,1399,7,22,44,3,45,129,105,88,11,111,16,62,76,54
7916305001,True,1267,7,22,43,4,42,105,14,109,104,1,30,81,61,71
7916304614,True,1515,7,22,31,8,84,110,2,37,63,41,29,1,74,131
7916304602,True,1311,7,22,53,4,8,114,131,106,34,14,27,67,9,88
7916304419,False,1588,7,22,72,5,41,84,36,5,74,123,39,7,86,93
7916304313,True,1526,7,22,81,3,88,131,25,59,108,81,21,123,129,40
7916304214,True,1614,7,22,31,5,96,126,88,30,8,48,91,11,90,51
7916304017,True,1559,0,4,33,4,64,12,5,106,99,53,104,73,11,75
7916303605,True,1577,7,22,41,4,11,13,111,21,96,2,57,106,25,53
7916303118,True,1520,0,22,63,8,88,138,107,86,14,93,50,69,131,77
7916303116,False,1530,7,3,35,7,36,71,11,135,54,25,131,8,37,96
7916303103,True,1639,7,22,23,3,48,109,135,68,106,88,42,39,93,64
7916302900,True,1621,7,22,71,5,25,30,88,17,120,37,8,2,131,36
7916302700,True,1355,7,22,34,2,51,42,44,110,131,86,104,25,11,3
7916302515,False,1594,7,22,22,5,106,80,75,93,28,44,14,11,77,42
7916302406,False,1583,7,22,15,2,8,75,137,46,84,7,82,54,50,25
7916302117,True,1640,7,22,52,6,51,34,131,39,8,36,13,57,6,84
7916301916,True,1552,7,22,51,4,137,131,53,54,113,46,2,37,64,1
7916301800,True,1453,7,22,45,4,1,88,60,131,7,44,16,37,34,135
7916301715,True,1536,7,22,42,4,104,63,105,131,93,10,30,29,123,84
7916301618,True,1664,7,22,43,6,8,88,84,86,28,13,26,25,2,67
7916301313,False,1717,7,22,31,4,107,102,53,61,8,86,78,131,30,44
7916301013,True,1617,7,22,75,7,37,21,106,88,98,126,136,93,129,64
7916300810,False,1812,7,22,24,5,105,39,14,98,25,2,84,30,1,33
7916300716,False,1633,7,22,63,5,48,44,97,9,23,107,25,35,34,76
7916300514,True,1758,7,22,55,4,26,29,39,67,34,123,17,86,93,7
7916300510,True,1451,7,22,43,3,43,17,31,109,131,64,12,35,2,112
7916300416,False,1586,0,4,21,2,45,49,109,1,82,101,25,104,18,13
7916299905,True,1770,7,22,53,2,71,54,61,104,87,62,47,16,25,74
7916299902,False,1722,0,4,32,2,98,9,72,42,18,26,11,86,85,41
7916299816,False,1712,0,4,44,5,63,20,35,83,55,56,4,102,7,85
7916299814,False,1494,7,22,32,5,75,92,71,54,13,8,84,42,131,2
7916299414,False,1671,7,22,81,4,98,34,100,11,63,38,57,39,10,131
7916299407,True,1683,0,22,31,2,26,32,35,21,86,40,14,36,131,39
7916299303,False,1665,7,22,62,9,7,13,72,26,73,131,86,51,8,90
7916299106,True,1879,7,22,54,3,16,64,63,76,131,109,44,20,14,42
7916299100,True,1702,7,22,73,7,61,131,108,68,73,94,20,87,13,123
7916299018,False,1747,7,22,81,7,49,131,73,104,111,25,86,70,2,87
7916298910,True,1645,7,22,73,7,70,131,91,36,39,25,112,94,60,14
7916298714,False,1699,7,22,62,4,94,27,15,44,20,1,21,129,31,60
7916298414,True,1728,0,22,24,3,72,83,114,102,106,104,6,63,57,86
7916298209,True,1883,7,22,61,9,18,19,52,68,131,49,86,64,4,126
7916298116,False,1858,7,22,63,6,26,110,53,98,54,81,20,88,86,14
7916298105,False,1785,7,22,43,5,42,88,66,14,34,50,47,60,93,84
7916298101,False,1665,7,22,32,7,48,36,7,56,123,50,11,87,6,129
7916297905,True,1809,7,22,41,5,75,53,9,42,37,8,99,39,131,119
7916297802,True,1799,7,22,81,4,10,2,131,74,86,8,87,14,16,53
7916297511,True,1897,7,22,44,4,14,131,88,44,37,6,17,38,111,30
7916297503,False,1890,7,22,54,3,44,76,33,92,75,9,123,131,102,41
7916297109,False,1989,7,22,24,3,131,84,23,35,67,5,93,42,26,8
7916297015,False,1873,7,22,21,2,84,2,63,70,7,42,44,119,27,81
7916296919,False,1969,0,4,35,2,19,87,83,17,18,43,26,35,32,73
7916296810,False,1934,7,22,41,6,110,21,45,2,76,49,74,109,14,91
7916296700,True,1809,7,22,81,5,16,11,79,95,131,96,89,57,49,20
7916296417,True,1740,0,22,42,6,10,16,34,14,9,74,97,86,1,131
7916296409,True,1888,7,22,32,4,8,42,35,131,20,61,16,31,88,67
7916296304,False,1693,7,22,64,6,95,21,131,83,97,121,8,2,123,39
7916296202,True,1825,7,22,21,3,53,37,87,19,48,81,73,84,26,17
7916296111,True,1996,7,22,52,6,114,22,131,14,20,69,8,101,31,104
