ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7915523803,False,1170,7,22,81,5,23,97,84,123,129,131,100,62,17,49
7915523606,False,992,0,22,13,2,31,20,83,104,98,99,34,84,37,59
7915522818,True,1038,0,22,41,2,1,27,21,87,11,19,54,42,72,84
7915520619,False,1051,7,22,34,3,6,131,26,36,86,11,61,38,136,64
7915520600,False,1265,7,22,33,2,105,22,138,73,29,99,74,123,11,1
7915519815,False,1376,7,22,63,8,64,84,94,11,40,14,88,1,57,39
7915519813,True,1353,7,22,62,6,131,97,48,52,35,129,86,9,84,74
7915519402,True,1351,7,22,33,5,92,136,1,88,60,8,26,14,30,106
7915518319,False,1425,7,22,42,4,5,14,13,44,131,87,41,59,97,71
7915517717,True,1300,7,22,55,9,94,62,39,58,14,84,35,73,71,97
7915517710,True,1526,0,4,24,3,32,12,29,26,82,95,54,123,18,2
7915517000,True,1472,7,22,41,5,54,104,87,29,119,93,86,30,102,71
7915516107,True,1335,0,22,44,2,63,14,44,131,45,49,19,87,47,25
7915515215,False,1515,7,22,61,6,42,83,10,11,88,49,87,108,14,74
7915514803,True,1614,7,22,54,5,42,64,25,108,123,44,71,49,39,26
7915514506,True,1568,7,22,51,7,131,7,106,54,27,68,137,8,97,17
7915514311,False,1613,7,22,54,6,25,83,49,26,76,74,14,11,2,57
7915514100,False,1583,7,22,13,2,39,50,41,8,7,59,75,56,86,64
7915513903,False,1465,7,22,54,8,48,5,57,128,76,104,14,64,73,135
7915513817,False,1487,7,22,44,6,44,104,131,86,101,64,6,25,28,102
7915513802,True,1563,7,22,61,9,20,93,50,136,31,97,129,123,105,39
7915513708,True,1499,7,22,22,4,95,113,91,14,83,42,84,11,20,2
7915513408,False,1366,7,22,31,2,98,137,58,21,95,49,123,131,2,6
7915513105,False,1692,7,22,34,2,25,37,26,104,75,71,69,33,48,53
7915512905,True,1495,7,22,34,5,30,1,43,99,131,37,137,121,8,74
7915512706,True,1473,7,22,75,5,28,14,42,74,131,67,57,80,47,119
7915512705,True,1619,0,22,43,3,53,18,131,101,84,99,74,26,22,44
7915512518,True,1468,7,22,35,4,44,91,49,76,74,14,129,41,75,87
7915512408,True,1482,7,22,81,5,42,89,14,84,86,131,60,19,91,25
7915512219,True,1656,7,22,14,4,74,2,71,45,73,11,84,44,9,100
7915512213,True,1610,0,22,22,4,44,7,14,131,25,138,68,17,84,103
7915512212,False,1770,0,4,61,7,9,111,30,44,35,15,14,108,63,87
