ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7914450715,True,1362,7,22,21,3,26,47,13,53,84,109,102,95,106,123
7914449916,False,569,0,22,54,9,85,29,80,87,2,8,114,74,63,64
7914448618,False,1398,7,22,63,7,75,87,37,44,51,86,62,21,126,131
7914448606,False,1582,0,22,52,4,53,14,8,85,15,30,25,131,98,99
7914448511,True,1290,7,22,33,4,7,86,129,109,26,131,96,88,1,113
7914448300,True,1565,7,22,81,5,135,49,93,131,86,10,111,19,71,55
7914448213,True,1391,7,22,42,3,20,1,50,49,25,9,19,63,43,100
7914448106,True,1458,7,22,31,6,21,104,43,37,8,35,42,48,62,26
7914447616,True,1551,7,22,61,4,70,26,29,23,14,135,71,17,131,44
7914447500,True,1287,7,22,81,5,97,37,95,86,15,48,87,2,70,123
7914446913,False,1739,7,22,23,2,112,71,14,21,8,128,15,44,81,101
7914446819,True,1666,7,22,53,2,26,60,11,18,21,52,43,44,131,5
7914446803,False,1594,7,22,53,5,96,87,26,12,75,104,42,35,14,131
7914446505,True,1622,7,22,62,5,31,6,39,74,14,20,1,38,86,49
7914446217,True,1764,7,22,31,4,59,136,93,102,34,52,31,22,72,25
7914446110,True,1457,7,22,43,4,106,69,31,20,1,135,30,104,138,25
7914446001,False,1815,7,22,73,3,129,10,74,59,64,42,37,35,99,7
7914445816,False,1718,7,22,32,3,1,96,94,72,88,36,41,47,123,131
7914445814,False,1646,7,22,31,4,49,105,97,17,6,71,48,35,40,36
7914445407,False,1828,7,22,64,4,67,64,28,49,14,70,35,30,23,131
7914445219,True,1602,0,22,52,7,22,36,131,98,10,70,26,100,78,44
7914445208,True,1723,7,22,74,5,50,42,7,93,129,120,26,106,114,123
7914445206,True,1841,0,4,32,3,104,35,101,70,47,15,102,37,26,86
7914444804,True,1929,7,22,52,5,131,39,108,50,67,20,30,17,2,6
7914444616,True,1896,7,22,23,6,25,104,14,12,131,93,86,49,60,75
7914444518,True,1958,7,22,24,4,33,137,67,25,51,93,7,2,37,16
7914444419,True,1637,7,22,81,7,45,42,82,20,49,74,73,34,96,53
7914444414,True,1748,0,22,23,4,46,19,23,86,63,81,99,20,111,84
7914444405,False,2025,7,22,81,8,53,40,48,36,131,29,120,62,26,67
7914444304,False,1964,7,22,54,5,109,16,27,11,25,48,20,73,129,62
7914444303,True,1896,7,22,74,8,129,131,14,17,136,9,15,7,35,5
7914444206,False,1772,7,22,53,5,129,126,86,31,70,131,14,42,123,104
7914443911,True,1857,7,3,43,2,39,29,15,87,8,64,11,89,54,21
7914443906,False,1933,7,22,44,5,84,35,123,28,31,79,44,16,131,25
7914443813,True,1952,7,22,42,6,45,47,27,35,9,68,108,40,41,22
7914443805,True,1910,7,22,52,2,70,136,26,86,111,131,30,19,42,39
7914443804,False,1837,7,22,34,2,14,63,48,76,36,29,25,84,59,128
7914443505,True,1980,7,22,31,3,72,49,84,131,27,21,20,14,32,90
7914443411,True,2072,0,22,62,8,57,67,47,129,50,11,48,123,16,5
7914443315,True,1948,7,22,23,4,131,30,81,19,90,98,54,105,27,93
7914443016,True,1918,7,22,13,3,35,42,31,8,27,131,32,25,105,49
7914443001,True,1981,7,3,43,5,44,27,47,52,64,85,16,21,13,67
7914442816,True,2022,7,3,52,6,120,95,72,51,22,9,114,49,79,40
7914442805,True,1977,7,22,35,2,32,25,81,66,40,131,85,35,138,33
7914442700,True,2165,7,22,35,3,11,7,131,86,42,26,35,16,123,8
7914442618,True,2154,7,22,53,5,119,104,70,84,55,7,110,131,12,39
7914442517,False,2143,7,22,44,6,2,26,50,8,111,5,47,131,52,42
7914442511,True,2165,7,22,21,5,2,20,47,7,44,14,123,101,5,41
7914442415,True,1839,7,22,61,5,43,69,48,100,53,70,17,98,14,74
7914442405,True,1895,7,22,73,5,56,20,87,96,22,25,101,86,62,42
7914442304,False,2087,7,22,63,5,9,7,27,23,129,44,98,86,131,16
7914442302,True,1987,7,22,31,2,114,129,17,62,112,99,87,46,14,11
7914442217,True,2016,7,22,52,7,104,22,88,131,71,77,21,110,20,8
7914442019,True,2040,7,22,34,6,85,16,8,129,131,44,28,74,105,50
7914442007,False,2052,7,22,81,7,41,49,111,123,114,131,2,13,60,10
7914442003,True,1966,7,22,32,3,88,25,21,45,33,86,31,8,37,61
7914441909,False,1846,7,22,43,4,11,14,41,26,131,21,25,36,84,7
7914441908,False,2172,7,22,22,3,46,14,42,27,76,9,30,88,19,47
7914441900,True,2136,7,22,41,4,101,104,50,41,22,123,11,73,93,26
7914441815,False,2036,0,22,43,4,94,26,91,84,90,8,131,74,42,71
7914441807,False,2058,7,22,52,7,18,41,74,35,86,30,26,55,11,126
7914441717,True,2161,7,22,33,5,87,105,34,84,44,12,21,45,22,119
7914441700,True,2080,7,22,33,4,36,28,48,9,129,53,74,93,2,123
7914441605,True,1947,7,22,54,5,7,30,47,25,14,21,6,64,9,28
7914441519,False,2164,7,22,42,3,23,48,114,5,25,85,84,41,104,27
7914441503,False,2254,7,3,53,5,37,114,49,131,18,126,112,44,68,29
7914441402,False,2136,7,22,81,4,74,27,70,131,7,53,86,99,44,14
7914441219,True,1915,7,22,41,4,15,68,63,78,71,14,35,131,93,7
7914441106,False,2139,7,22,21,5,61,81,31,12,50,82,86,84,6,30
7914441103,True,2167,0,22,33,2,28,128,93,131,99,97,88,21,76,78
7914454611,True,1089,7,22,71,2,7,61,120,31,10,27,9,54,87,92
7914454418,True,1198,7,22,31,2,102,64,35,85,8,56,105,26,104,71
7914453506,False,1035,7,22,43,4,59,35,14,74,63,136,91,92,131,69
7914452216,False,1572,7,22,41,6,119,44,70,114,96,81,131,26,108,25
7914451701,True,1651,0,22,43,2,19,25,6,27,74,35,48,39,44,90
7914451112,True,1492,7,22,44,5,107,108,34,94,63,101,53,71,32,11
7914450818,True,1616,7,22,74,3,28,70,17,131,9,41,37,29,73,80
7914450809,False,1436,7,22,52,2,5,7,135,25,8,14,33,45,41,123
