ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7912085110,True,926,7,22,81,5,62,27,59,60,15,23,93,86,56,131
7912083102,False,1040,0,4,71,4,69,21,38,101,52,104,105,10,78,131
7912080311,True,1051,0,22,31,3,5,11,14,1,37,96,27,32,58,41
7912079608,True,759,0,22,41,3,31,12,46,128,86,27,70,29,72,35
7912077210,True,1127,7,22,81,7,114,108,88,93,64,111,106,71,99,73
7912076312,False,1296,0,4,54,3,135,42,44,112,85,47,17,36,74,119
7912075407,True,1140,0,22,23,3,91,1,14,76,57,93,9,99,11,131
7912075112,True,1333,7,3,75,7,123,64,10,106,55,126,96,31,110,8
7912072202,False,1527,0,22,51,3,51,21,71,36,46,3,96,68,31,81
7912071505,False,1276,0,22,42,2,131,129,48,27,59,31,47,85,120,74
7912071403,True,1207,7,22,61,4,70,47,53,110,35,131,25,8,69,45
7912071305,True,1458,7,22,41,5,86,131,42,11,51,17,138,35,14,19
7912070805,True,1437,7,22,54,2,36,72,49,64,100,87,71,76,8,88
7912070606,True,1343,7,22,74,7,14,9,13,43,41,62,63,21,128,106
7912070215,True,1569,7,22,74,7,106,7,131,88,46,54,26,51,16,68
7912069805,True,1468,7,22,52,6,73,11,64,19,37,96,50,31,12,54
7912069303,False,1637,7,3,64,8,41,16,79,39,119,73,19,94,26,76
7912069207,False,1523,7,22,61,6,53,131,41,19,138,93,25,68,49,26
7912069109,False,1608,7,22,31,6,11,21,86,2,90,104,20,1,5,25
7912068805,False,1626,7,22,31,3,131,70,27,113,16,88,81,84,136,91
7912067916,True,1637,7,22,81,5,47,86,96,21,57,2,81,131,137,90
7912067901,True,1653,0,22,42,3,86,131,98,84,6,11,38,14,22,8
7912067817,True,1435,0,22,31,6,121,36,44,104,37,13,67,31,6,71
7912067500,False,1492,0,4,34,5,96,81,40,1,33,34,12,113,65,54
7912066715,True,1735,7,22,42,3,2,98,136,91,100,131,21,108,54,57
7912066613,True,1433,7,22,62,7,94,26,19,36,2,131,96,21,58,63
7912066013,True,1472,7,22,32,5,93,49,102,26,11,46,88,2,8,123
7912065908,True,1640,7,22,61,6,89,128,129,131,14,121,60,63,85,48
7912065707,False,1643,7,22,42,4,93,20,104,136,63,42,6,94,26,27
7912065519,False,1464,7,22,81,4,83,131,25,81,8,110,111,14,95,58
7912065400,True,1651,7,22,62,3,109,131,26,17,28,8,46,71,74,123
7912065103,False,1597,7,22,41,7,19,121,94,129,31,95,106,97,26,47
7912064911,True,1650,7,22,52,5,20,136,119,73,57,60,100,49,9,52
7912064607,True,1696,7,22,31,5,20,27,85,44,94,9,89,22,114,131
7912064603,True,1783,7,22,43,5,131,81,2,5,14,44,47,21,105,15
7912064518,False,1583,7,22,54,5,131,54,75,64,94,41,49,14,30,69
7912064514,False,1545,7,22,52,4,113,50,69,35,8,54,2,11,126,14
7912064511,False,1666,7,22,81,6,44,7,1,129,84,95,96,111,21,53
