ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7911902819,False,933,0,4,34,6,69,71,6,56,87,121,48,82,62,14
7911900313,True,717,7,22,81,6,61,15,14,137,131,86,100,38,49,80
7911897809,True,1185,7,22,61,5,48,88,131,126,92,95,60,11,74,71
7911897017,True,930,7,22,53,6,102,35,2,34,93,27,114,80,47,14
7911896617,True,1235,7,22,33,3,42,26,6,104,15,8,5,131,76,81
7911894705,False,1346,7,22,81,6,21,10,131,16,14,25,91,34,126,104
7911891517,True,1377,0,22,45,6,35,14,59,111,62,15,131,56,88,26
7911889806,True,1435,7,22,52,3,119,8,104,14,136,6,39,128,5,42
7911889113,True,1451,7,22,75,4,28,14,18,131,30,11,26,98,27,114
7911888319,True,1486,7,22,61,3,131,78,53,54,87,8,21,96,3,14
7911886801,True,1572,7,22,24,4,78,90,71,35,42,8,26,96,45,83
7911886400,True,1567,7,22,62,7,44,14,37,2,22,109,17,83,28,70
7911886314,True,1597,7,22,51,5,8,35,83,96,131,17,5,14,11,19
7911886214,False,1598,7,22,31,4,128,28,53,8,74,48,2,84,17,109
7911885808,True,1577,7,22,24,3,42,59,9,96,37,30,34,41,104,1
7911885616,True,1489,7,22,74,8,11,45,131,90,72,98,106,123,44,5
7911885503,True,1629,7,22,42,6,109,131,31,13,7,80,86,129,73,21
7911884915,False,1574,7,22,55,5,102,104,36,64,21,8,57,26,39,96
7911884719,True,1672,7,3,63,8,43,86,88,2,93,42,102,71,76,131
7911884303,True,1615,0,22,62,7,102,57,25,20,36,128,39,44,16,131
7911883800,True,1585,7,22,13,2,123,61,7,14,63,32,5,8,2,57
7911883614,True,1405,7,22,61,6,110,42,126,94,57,39,8,30,14,131
7911883600,True,1667,7,22,81,7,25,83,137,20,98,21,27,64,39,2
