ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7914658603,False,1346,7,22,51,6,138,53,54,102,36,113,44,105,98,131
7914658504,True,814,0,22,51,4,36,131,29,3,44,5,23,15,113,56
7914657909,False,1112,7,22,81,2,74,101,4,37,32,102,131,11,9,106
7914656305,False,1512,0,22,41,3,74,32,102,44,88,8,131,84,47,7
7914656103,False,1398,7,22,52,5,51,9,70,20,49,56,108,2,36,131
7914655905,False,1242,7,22,71,4,93,9,16,99,40,104,17,30,131,41
7914655218,True,1385,7,22,54,4,14,28,41,40,9,15,55,53,93,19
7914654615,False,1601,7,22,52,5,5,14,42,69,44,97,51,93,131,55
7914654416,True,1372,7,22,21,2,131,98,113,63,5,35,74,136,26,61
7914654215,True,1607,7,22,55,5,112,114,14,39,2,26,49,18,131,21
7914654209,False,1408,7,22,62,5,26,8,42,45,16,131,32,40,97,13
7914653504,True,1715,7,22,22,3,44,14,43,131,104,126,84,21,123,71
7914653407,True,1457,7,22,51,3,128,82,8,26,2,35,75,1,123,42
7914653401,False,1513,7,22,75,7,87,60,95,131,81,106,111,44,47,86
7914653010,False,1728,7,22,62,6,5,54,112,2,76,50,104,70,25,88
7914652706,True,1537,7,22,21,4,85,99,105,36,1,64,106,48,26,14
7914652319,True,1764,7,22,43,2,42,102,44,106,27,2,26,93,86,88
7914651808,True,1536,7,22,52,6,1,106,111,40,19,112,100,44,76,101
7914651805,False,1749,7,22,55,7,88,136,114,7,73,76,39,70,108,131
7914651510,True,1627,7,22,73,4,88,109,11,86,104,35,1,46,99,64
7914651414,False,1556,7,22,51,6,60,74,27,54,111,101,70,26,108,5
7914651402,True,1825,7,22,21,3,89,94,131,113,7,42,47,60,75,6
7914651313,False,1750,7,22,32,4,11,136,131,40,7,92,97,54,26,64
7914651302,True,1550,0,4,45,5,56,128,11,8,21,29,35,5,55,1
7914651109,False,1797,7,22,74,5,53,44,36,35,29,40,1,23,13,7
7914651018,True,1600,7,22,63,6,61,34,74,3,95,102,71,40,48,11
7914651017,True,1714,7,22,55,4,93,71,69,68,35,2,49,9,62,106
7914650918,True,1654,0,22,31,3,41,2,34,93,123,17,36,30,44,5
7914650916,True,1682,7,22,51,5,86,81,37,99,85,74,131,41,2,34
7914650915,True,1860,7,22,71,6,8,137,34,110,91,48,99,123,43,107
7914650716,True,1816,7,22,42,4,44,104,86,67,14,85,41,35,62,50
7914650516,True,1650,0,22,31,3,50,6,85,43,75,44,68,112,57,73
7914650416,False,1824,7,22,62,6,39,138,44,2,63,96,17,21,31,62
7914650410,False,1698,7,22,61,7,81,131,111,71,129,34,29,39,63,88
7914650309,True,1922,7,22,53,6,104,44,68,11,128,5,88,61,131,103
7914650308,False,1716,0,4,33,4,114,11,63,35,70,14,73,32,43,47
7914650201,True,1813,7,22,31,3,48,98,11,53,131,1,26,97,101,74
7914650105,True,1869,7,22,34,7,49,21,92,119,87,28,26,71,67,40
7914650009,True,1757,7,22,43,7,20,84,81,6,39,14,15,40,98,1
7914649817,False,1815,7,22,43,6,26,19,128,123,48,98,7,30,11,102
7914649811,True,1621,7,22,62,4,35,33,37,86,94,30,137,25,5,22
7914649607,False,1607,7,22,81,5,104,14,123,98,70,128,137,126,131,44
7914649606,False,1861,7,22,51,2,60,64,73,21,26,14,40,27,99,54
7914649413,True,1694,7,22,42,3,45,128,18,71,57,37,42,64,39,25
7914649301,True,1616,7,22,71,8,59,84,21,7,8,93,27,131,103,50
7914649207,False,1769,7,22,14,2,44,27,67,53,42,35,21,136,14,54
7914649115,False,1771,7,22,41,4,14,131,2,67,75,104,26,8,49,22
7914649114,True,1935,7,22,42,4,88,37,25,41,102,11,121,44,86,69
7914649019,False,1696,7,22,51,6,114,9,25,42,88,6,16,14,40,17
7914649016,False,1703,7,22,31,6,17,26,29,84,32,37,14,112,6,1
7914648709,True,1851,7,22,21,4,137,21,27,93,88,53,99,9,5,70
7914648610,False,1860,7,22,61,7,110,86,104,1,13,84,131,63,49,31
7914648509,False,2003,7,3,65,4,35,97,64,11,50,36,7,86,87,46
7914648508,False,1858,0,4,54,4,96,69,8,48,84,56,73,16,100,25
7914648414,False,1795,7,22,51,4,27,36,114,28,131,37,96,22,58,54
7914648413,True,1930,7,22,21,2,110,104,44,11,39,86,68,28,36,30
