ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7915913508,False,1225,7,22,62,2,108,35,30,1,6,25,98,63,85,131
7915913412,True,819,7,22,81,7,131,89,39,2,63,92,57,70,14,136
7915912003,False,1193,7,22,61,2,131,39,96,73,31,40,27,8,85,106
7915911702,True,1368,7,22,41,4,17,5,23,110,44,15,85,34,114,14
7915911610,True,1436,7,22,44,7,2,106,71,18,25,8,22,104,14,62
7915911011,False,1328,7,22,81,7,6,58,40,16,86,30,63,47,39,102
7915910707,False,1547,0,4,64,4,129,2,26,47,39,15,94,111,33,119
7915910410,True,1530,7,22,54,2,64,2,131,18,106,56,5,10,53,99
7915910115,True,1423,7,22,81,6,44,92,131,20,106,70,96,31,19,17
7915910112,True,1426,7,22,54,4,15,87,19,93,40,25,26,129,102,21
7915909510,True,1522,7,22,31,9,114,14,48,49,5,4,98,121,35,39
7915909409,False,1438,7,22,73,3,35,76,93,2,131,83,19,34,25,62
7915909206,False,1456,7,22,81,7,27,131,16,25,8,47,46,88,9,3
7915908819,True,1649,7,22,34,4,128,21,105,15,135,11,48,20,121,2
7915908702,False,1700,7,22,41,2,73,70,84,28,75,23,86,93,21,71
7915908700,True,1579,7,22,33,2,35,64,104,94,53,89,19,27,128,105
7915908619,True,1678,7,22,61,3,136,114,33,70,128,41,84,86,85,39
7915908011,True,1690,7,22,32,2,84,41,93,19,53,114,50,98,25,18
7915908004,True,1620,0,4,41,3,35,15,66,104,34,56,63,40,80,64
7915907915,False,1622,7,22,43,4,75,54,101,55,14,84,42,64,87,104
7915907911,True,1678,7,22,44,2,93,36,104,131,5,73,38,86,84,11
7915907901,True,1651,7,22,52,3,10,105,14,2,87,11,84,131,49,74
7915907817,True,1729,7,22,64,6,27,106,102,23,63,36,131,14,25,16
7915907018,True,1410,0,22,73,9,67,47,50,14,80,9,71,131,53,136
7915906801,False,1904,7,22,64,8,30,2,15,94,14,71,8,135,39,84
7915906708,False,1709,7,22,35,6,131,71,64,114,86,79,108,21,14,88
7915906207,True,1958,7,22,41,4,75,6,27,18,37,64,28,131,119,31
7915905900,True,1951,7,22,35,5,21,42,86,20,5,6,75,84,9,62
7915905802,True,1796,7,22,42,4,14,131,25,57,93,67,17,111,20,129
7915905510,True,1781,7,22,13,2,131,11,59,104,14,43,12,63,7,75
7915905314,False,1818,7,22,32,5,21,26,49,5,59,8,87,63,2,23
7915905114,True,1942,7,22,52,3,21,71,6,137,84,75,11,12,57,22
