ID,radiant_win,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
7912154104,True,1002,7,22,63,4,131,61,74,47,109,39,26,137,96,48
7912151417,True,1143,0,4,45,7,70,45,7,43,121,22,64,96,41,9
7912150913,True,1284,7,22,81,6,131,120,59,83,10,113,8,129,86,110
7912149706,True,1237,0,22,21,3,47,28,35,15,7,5,25,104,27,48
7912149305,False,1333,0,22,51,4,2,131,1,110,42,86,77,14,8,74
7912149214,True,1111,0,4,24,3,50,136,81,57,86,84,71,96,1,126
7912148116,True,1281,7,22,43,5,135,57,86,48,14,137,22,111,51,94
7912148002,True,1353,7,22,22,3,123,42,61,26,81,94,30,131,15,104
7912146410,False,1276,7,22,81,4,68,39,75,25,42,78,100,41,87,21
7912146015,True,1353,7,22,24,3,7,89,62,59,99,12,37,119,74,72
7912145715,True,1529,7,22,43,4,64,71,97,2,35,26,86,104,44,88
7912144905,True,1461,7,22,61,2,53,95,60,131,11,110,21,16,75,81
7912144006,True,1456,7,22,43,2,131,86,53,106,38,39,3,44,21,135
7912143804,True,1532,7,22,62,7,49,51,44,131,22,50,69,9,5,76
7912143719,False,1592,7,22,54,4,5,70,74,104,64,2,131,79,35,8
7912143216,True,1274,7,22,62,9,51,8,97,69,105,28,107,10,88,123
7912143014,True,1476,7,22,81,7,17,137,70,131,45,9,86,19,21,53
7912143001,False,1431,7,22,45,5,131,10,74,77,76,27,92,47,49,15
7912142905,True,1567,7,22,81,5,23,4,131,21,86,11,112,25,136,55
7912142708,True,1414,7,22,81,6,119,53,33,44,61,63,123,107,108,86
7912142706,False,1600,7,22,32,3,11,112,136,131,81,50,110,35,14,42
7912142614,False,1611,7,22,32,4,30,114,104,39,131,8,101,43,7,40
7912142508,False,1374,7,22,53,3,65,104,33,48,39,105,114,26,35,11
7912142309,True,1217,7,22,63,7,49,44,63,106,34,35,129,113,16,131
7912142106,True,1697,0,22,62,3,53,39,40,114,84,58,112,13,96,18
7912142103,True,1588,7,22,35,5,2,11,44,59,40,85,17,93,36,63
7912141300,True,1499,7,22,52,6,61,86,49,82,22,14,114,74,108,6
7912141102,True,1561,7,22,81,4,87,83,2,52,44,114,79,106,19,14
7912140906,False,1745,7,22,52,5,29,53,8,30,64,35,102,44,7,14
7912140905,True,1422,7,22,75,7,86,136,47,1,88,102,10,39,137,26
7912140810,False,1515,7,22,74,6,3,104,72,26,22,74,92,33,86,32
7912140613,True,1430,7,22,31,4,30,71,80,20,46,84,19,6,59,131
7912140313,False,1680,7,22,71,6,119,137,11,136,52,131,54,14,21,22
7912140219,False,1754,7,22,62,5,14,21,129,131,114,84,51,11,82,96
7912140116,True,1680,7,22,24,3,84,10,61,18,101,73,71,6,14,104
7912139804,True,1690,7,22,62,7,56,16,136,91,51,14,123,131,44,39
7912139600,True,1570,7,22,53,9,37,1,120,57,25,114,48,104,88,22
